Planetas y Satélites,Gravedad (m/s²), Radio (km),Imagen,Temp. media (Cº),Peso Astronauta (kg)
Tierra,"9,8",6.371,,15º,56
Luna,"1,62","1.737,40",,"107 (de día) 
-153 (de noche)","9,257142857"
Marte,"3,7","3.389,50",,-55,"21,14285714"
Júpiter,"24,8",69.911,,"-121,15","141,7142857"
Ío,"1,796","1.821,60",,"-143,15","10,26285714"
Europa,"1,315","1.560,80",,-163,"7,514285714"
Ganímedes,"1,428","2.634,10",,"-163,15","8,16"
Calisto,"1,236","2.410,30",,"-139,1","7,062857143"
Saturno,9,58.232,,-176,"51,42857143"
Titán,"1,352","2.574,70",,"-179,5","7,725714286"
Tetis,"0,145",531,,-187,"0,8285714286"
Dione,"0,232","561,4",,-186,"1,325714286"
Rea,"0,264","763,8",,-220/-174,"1,508571429"
Jápeto,"0,223","734,5",,-143/-173,"1,274285714"
Mimas,"0,064","198,2",,29,"0,3657142857"
Encélado,"0,113","252,1",,-198,"0,6457142857"
Urano,"8,7",25.362,,-218,"49,71428571"
Miranda,"0,079","235,8",,"-187,15","0,4514285714"
Ariel,"0,249","578,9",,"-215,15","1,422857143"
Umbriel,"0,2","584,7",,"-198,15","1,142857143"
Titania,"0,367","788,4",,-180,"2,097142857"
Oberón,"0,354","761,4",,"-213,15/-193,15","2,022857143"
Neptuno,11,24.622,,-218,"62,85714286"
Tritón,"0,779","1.353,40",,-235,"4,451428571"
